"syscode"|"inhoud"|"jaar"|"author"
"10"|"<span en-gb=\"\" lang=\"11pt;=&quot;&quot;\"><i>European Social Dialogue and Enlargement – What Can the Future Bring?</i>. Paper presented at the 5<sup><font size=\"1\">th</font></sup> Pan-European International Relations Conference “Constructing World Orders”, The Hague, The Netherlands, 9-11.09.2004</span>"|"2004"|"TANASESCU, Irina, BEDOYAN, Isabelle

"
"11"|"<I>Stakeholder Involvement in Policy-Making – The Case of the European Union</I>. Paper presented at the international conference “Globalism, Globality, Globalization. Ten Years of European Studies in Cluj”, Cluj, Romania, 21-23.10.2004"|"2004"|"TANASESCU, Irina, BEDOYAN, Isabelle

"
"12"|"<i>De uitbreiding van het Europese New Approach model, efficiënt bestuur of onaanvaardbare delegatie van bestuursmacht?</i>. Paper presented at the Tweejaarlijks Politologisch Congres “De wegdeemsterende staat?”, Ghent, Belgium, 3.12.2004 "|"2004"|"BEDOYAN, Isabelle, JANS, Maarten T., TANASESCU, Irina"
"13"|"European Social Dialogue and Enlargement, in Lane, T., Stadtmüller, E. (eds.) <I>Europe</I><I> on the Move. The Impact of Eastern Enlargement on the European Union</I>, Mûnster: LIT Verlag"|"2005"|"TANASESCU, Irina, BEDOYAN, Isabelle (2005)"
"188"|"‘<a href=\"http://www.ecmi.de/fileadmin/downloads/publications/JEMIE/2004/1-2004Intro29July.pdf\">Introduction</a>’ to Bruno Coppieters et al.,<a href=\"http://www.ecmi.de/publications/detail/issue-12004-61\"> Europeanization and Conflict Resolution: Case Studies from the European Periphery</a>, <span style=\"font-style: italic;\">Journal on Ethnopolitics and Minority Issues in Europe</span>, 1/2004    "|"2004"|"COPPIETERS, Bruno, EMERSON, Michael, HUYSSEUNE, Michel, KOVZIRIDZE, Tamara, NOUTCHEVA, Gergana, TOCCI, Nathalie & VAHL, Marius"
"189"|"<a href=\"http://www.ecmi.de/jemie/download/1-2004Chapter1.pdf\">Europeanization and Secessionist Conflicts: Concepts qnd theories</a>, in <span style=\"font-style: italic;\">J<a href=\"http://www.ecmi.de/jemie/special_1_2004.html\">ournal on Ethnopolitics and Minority Issues in Europe</a></span><a href=\"http://www.ecmi.de/jemie/special_1_2004.html\">, 1/2004</a>., pp. 13-62   "|"2004"|"COPPIETERS, Bruno, NOUTCHEVA, Gergana, TOCCI, Nathalie, KOVZIRIDZE, Tamara, EMERSON, Michael & HUYSSEUNE, Michel "
"15"|"TANASESCU, I. (2005), <I>Deliberative policy-making and EU legitimacy problems</I>. Paper presented at the 3<SUP><FONT size=2>rd</FONT></SUP> ECPR General Conference, Budapest, Hungary, 8-10.09.2005"|"2005"|"TANASESCU, I"
"16"|"<i>Voluntary instruments in EU environmental policy. </i>Paper presented at the 2005 Berlin Conference on the Human Dimensions of Global Environmental Change “International Organisations and Global Environmental Governance”, Berlin-Potsdam, Germany, 2-3.12.2005 "|"2005"|"TANASESCU, Irina"
"17"|"<i>Deliberative democracy and EU consultation mechanisms</i>. Paper presented at the 1<sup><font size=\"2\">st</font></sup> GARNET PhD Seminar, Brussels, Belgium, 12-16.12.2005 "|"2005"|"TANASESCU, Irina"
"18"|"The political process leading to the development of the EU sustainable development strategy. In Pallemaerts, M., Azmanova, A. (eds.), “<I>The EU and Sustainable Development: Internal and External Dimensions</I>”, Brussels: VUB University Press"|"2006"|"TANASESCU, Irina"
"19"|"<a href=\"http://www.cesruc.org/chn/content.asp?contentID=320&amp;categoryID=14\">ouzhouhua he chongtu jiejue: ouzhou zhoubian diqu anli fenx,</a> Law Press"|"2006"|"COPPIETERS, Bruno, EMERSON, Michael, HYUSSEUNE, Michel, KOVZIRIDZE, Tamara NOUTCEVA, Gergana, TOCCI, Nathalie & VAHL, Marius
"
"20"|"<a href=\"http://www.aspeditions.be/article.aspx?article_id=MACHTO549C&amp;langue=en-gb\"><i><span>Macht of mythe: Achter de schermen van het Chinese groeimirakel</span></i></a><span>, VUB Press, Brussels</span> "|"2006"|"GEERAERTS, Gustaaf & HOLSLAG, Jonathan

"
"21"|"China’s New Mercantilism in Africa’, <i>African and Asian Studies</i>, Brill, 2006 vol. 4 (2), pp. 133-169 "|"2006"|"HOLSLAG, Jonathan

"
"22"|"Europe and China: The Great Disillusion’, <i>European Foreign Affairs Review</i>, Kluwer, 2006 vol. 11 (4), pp. 555-580"|"2006"|"HOLSLAG, Jonathan

"
"23"|"<span style=\"font-style: italic;\">The Role of Public Authorities in Integrated Product Policy: Regulators or Coordinators?</span>. Belgian Science Policy  "|"2006"|"PALLEMAERTS, Marc, MCLOUGHIN, A., JANS, Maarten T., BEDOYAN, Isabelle, TANASESCU, Irina, MISONNE, D., PETITAT, V. (2006)"
"24"|"Country study Romania in Developing a methodology for, and gathering information on new environment policy initiatives relevant for the EU Sustainable Development Strategy and Lisbon Strategies(coordinated by IEEP for the European Commission, under Framework Contract ENV.G.1/FRA/2004/0081). "|"2006"|"TANASESCU, Irina"
"25"|"<em>Towards a deliberative interpretation of stakeholder involvement in EU policy-making: The case of Integrated Product Policy</em>. Paper presented at the ESSPA Summer School, Bertinoro, Italy, 28.07.2006 "|"2006"|"TANASESCU, Irina "
"27"|"Multi-level governance at work: the case of the European Integrated Product Policy (IPP).In Deschouwer, K., Jans, T. (eds.) <a href=\"http://www.aspeditions.be/article.aspx?article_id=POLITI921L&amp;langue=en-gb%20\"><i>Politics beyond the State</i></a>, Brussels: VUB University Press  "|"2007"|"BEDOYAN, Isabelle, JANS, Maarten T., TANASESCU, Irina 

"
"28"|"Deliberation Beyond the State. Towards a Deliberative Interpretation of EU Consultation Mechanisms. In Deschouwer, K., Jans, T. (eds.) <a href=\"http://www.aspeditions.be/article.aspx?article_id=POLITI921L&amp;langue=en-gb%20\"><i>Politics beyond the State</i></a>, Brussels: VUB University Press "|"2007"|"TANASESCU, Irina 

"
"29"|"The EU and China’, in <i>Studia Diplomatica</i>, vol. 59 (2)"|"2007"|"GEERAERTS, Gustaaf & HOLSLAG, Jonathan

"
"30"|"Book review “Governance of Integrated Product Policy” (edited by Dirk Scheer and Frieder Rubik, Greenleaf Publishing, 2006), <I>Journal of Cleaner Production</I>, vol. 16/11"|"2008"|"TANASESCU, Irina

"
"31"|"Chinas Dual Diplomatic Identity,’ in Dries Lesage, <i>Explorations in global governance</i>, Peter Lang, Brussels"|"2008"|"GEERAERTS, Gustaaf & HOLSLAG, Jonathan"
"32"|"China’s positie ten aanzien van internationale instellingen,’ in Jan Wouters, <span style=\"font-style: italic;\">Mensenrechten</span>, ACCO, Leuven "|"2008"|"HOLSLAG, Jonathan

"
"33"|"Progress, perceptions and peaces in Sino-Indian relations,’ <i>Asia-Pacific Studies, </i>vol. 13 (4)"|"2008"|"HOLSLAG, Jonathan

"
"34"|"China’s positie ten aanzien van internationale instellingen,’ in Jan Wouters, <i>Mensenrechten, </i>ACCO, Leuven  "|"2008"|"HOLSLAG, Jonathan

"
"36"|"Evaluating the Sino-European strategic partnership, <SPAN style=\"FONT-STYLE: italic\">Journal of Common Market Studies</SPAN>, Wiley, vol. 49 (1)"|"2011"|"HOLSLAG, Jonathan"
"46"|"<a href=\"http://www.lexingtonbooks.com/Catalog/SingleBook.shtml?command=Search&amp;db=%5EDB/CATALOG.db&amp;eqSKUdata=0739121294\"><span style=\"font-style: italic;\">Moral Constraints on War: Principles and Cases</span></a>, Lanham/Md., Lexington Books

  "|"2008"|"COPPIETERS, Bruno & FOTION, Nick"
"39"|"China and India: Prospects for Peace, Columbia University Press, New York"|"2009"|"HOLSLAG, Jonathan"
"40"|"Still Hesitating: Gloomy Perceptions Thwart Sino-Indian Partnership’, <I>East Asia</I>, Springer, 2009 (1)."|"2009"|"HOLSLAG, Jonathan"
"1196"|"L'iris
  et le Croissant' (Book review on Felice Dasetto, L'Iris et le Croissant), <i><font class=\"font6\">Samenleving en Politiek</font></i><font class=\"font5\">, Vol. 19,
  n°5, p. 71-72</font>"|"2012"|"BENYAICH, Bilal"
"1019"|"Razreshenie konflikta posle gruzinsko-rossiiskoi voiny 2008 g. “Taivan’skaya” i “kosovskaya” modeli kak instrumenty mobilizatsii i sravneniya), <i style=\"mso-bidi-font-style: normal\"><span style=\"mso-ansi-language: EN-US\">Mirovaya ekonomika i mezhdunarodnie 
otnosheniya</span></i><span style=\"mso-ansi-language: EN-US\">, 2011 No 4, pp. 89-104</span>"|"2011"|"COPPIETERS, Bruno"
"43"|"China’s roads to influence,’ <I>Asian Survey,</I> California University Press vol. 50 (4)"|"2010"|"HOLSLAG, Jonathan"
"44"|"<i>The Impact of China’s Military Modernization on Stability in Asia</i>, IISS Adelphi Series,London  "|"2010"|"HOLSLAG, Jonathan"
"185"|"‘The Role of Energy in Sustainable Development: Greening the Environment and Securing Energy Supply’,&nbsp; in <span style=\"font-style: italic;\">The EU and Sustainable Development: Internal And External Dimensions</span>, Marc Pallemaerts &amp; Albena Azmanova (eds.), VUB University Press, Brussels"|"2006"|"HADFIELD, Amelia"
"1194"|"Islamofobie en Discriminatie, <i>De Internationale Spectator</i>, Vol. 66, n° 9, p. 459-460 "|"2012"|"BENYAICH, Bilal
"
"1195"|"'The European Neighbourhood Policy in the countries of the Mediterranean Area' (Book review on Rachid Rhattat, La politique européenne de voisinage dans les pays de l'aire méditerranéenne, Bruylant, Bruxelles, 2011), <i>European Foreign Affairs Review</i>, Vol. 17, n° 3, p. 485-488"|"2012"|"BENYAICH, Bilal
"
"47"|"<a href=\"http://poli.vub.ac.be/publi/statehood/statehood_georgian.pdf\"><span style=\"font-style: italic;\">Saxelmtsipoebrioba da usaprtxoeba: saqartvelo \"vardebis revoluciis\" shemdeg</span></a>, Caucasian Institute for Peace, Democracy and Development, Tbilisi "|"2006"|"COPPIETERS, Bruno & LEGVOLD, Robert"
"1253"|"Allen daarheen! Koks en kelners op de Wereldtentoonstelling van 1913 in Gent, <i>Brood &amp; Rozen,</i> vol.18, n. 1, pp.29 - 51"|"2013"|"VAN DEN EECKHOUT, Patricia"
"1254"|"Shopping for food in Western Europe in the nineteenth and twentieth centuries, <i>Food &amp; History</i>, vol.10, n. 1, pp.71 - 82"|"2012"|"VAN DEN EECKHOUT, Patricia"
"1255"|"Restaurants in Western Europe and the United States in the Nineteenth and Twentieth Centuries: an Introduction,<i> Food &amp; History</i>, vol.10, n. 1, pp.143 - 153"|"2012"|"VAN DEN EECKHOUT, Patricia
 "
"1256"|"The proliferation of brands: the case of food in Belgium (1890-1940),&nbsp; Enterprise and Society, issue 1, vol.13, n. 1, pp.53 - 84"|"2012"|"VAN DEN EECKHOUT, Patricia & SCHOLLIERS, Peter
"
"48"|"<a href=\"http://mitpress.mit.edu/catalog/item/default.asp?ttype=2&amp;tid=10656\"><span style=\"font-style: italic;\">Statehood and Security: Georgia After the Rose Revolution</span></a>, Cambridge/Mass., MIT Press

  "|"2005"|"COPPIETERS, Bruno & LEGVOLD, Robert (eds)"
"900"|"<a href=\"http://www.aspeditions.be/article.aspx?article_id=WETENM547Y&amp;langue=en-gb\"><span style=\"font-style: italic;\">Weten Mannen waarom? Mannelijkheid feministisch bekeken</span></a>, Brussel: VUB Press"|"2004"|"DE METSENAERE, Machteld, WOODWARD, Alison, CELIS, Karen & JANS, S."
"901"|"<a href=\"http://book.coe.int/EN/ficheouvrage.php?PAGEID=36&amp;lang=EN&amp;produit_aliasid=772\"><span style=\"font-style: italic;\">Going for gender balance</span></a>, Strasbourg: Council of Europe Publishinh<br>"|"2002"|"WOODWARD, Alison"
"902"|"<a href=\"http://book.coe.int/FR/ficheouvrage.php?PAGEID=36&amp;lang=FR&amp;produit_aliasid=772\"><span style=\"font-style: italic;\">Vers l'equilibre entre les femmes et les hommes</span></a>, Strasbourg: Council of Europe Publishing<br><br>"|"2002"|"WOODWARD, Alison"
"49"|"<a href=\"http://poli.vub.ac.be/publi/statehood/statehood_russian.pdf\"><span style=\"font-style: italic;\">Gosudarstvennost i bezopasnost: Gruziya posle revolyutsii roz</span></a>, Moscow, Interdialekt  "|"2005"|"COPPIETERS, Bruno & LEGVOLD, Robert (eds)"
"903"|"Partijen en partijsystemen in Nederland en Vlaanderen, <span style=\"font-style: italic;\">Sociologische Gids</span>, vol 50, no 2, p. 131-155"|"2003"|"DESCHOUWER, Kris & LUCARDIE, Paul"
"904"|"Federalismus und Frustration, J<span style=\"font-style: italic;\">ahrbuch des Föderalismus 2002</span>, Nomos Verlaggesellschaft, Baden-Baden, 2003, p. 151-159"|"2003"|"DESCHOUWER, Kris"
"905"|"De zorgeloze consensus. De statuten van het Vlaams Blok en de partijentheorie, <span style=\"font-style: italic;\">Tijdschrift voor Sociologie</span>, vol 20, nr. 1, p. 63-88"|"2003"|"DESCHOUWER, Kris"
"906"|"Het verkiezingsonderzoek in België na de Tweede Wereldoorlog, <span style=\"font-style: italic;\">Belgisch Tijdschrift voor Filologie en Geschiedenis</span>, vol 81, nr.2, p. 415-421"|"2003"|"DESCHOUWER, Kris"
"907"|"Federalisering, subsidiariteit en democratie, in B. Hubeau &amp; M. Elst (red),<span style=\"font-style: italic;\"> Democratie in ademnood? Over legitimiteit, legitimatie en verfijning van de democratie</span>, Die Keure, Brugge, p. 55-73"|"2002"|"DESCHOUWER, Kris"
"908"|"The Belgian Greens in government, in F. Müller-Rommel &amp; T. Poguntke, Green Parties in National Governments, Special Issue of <span style=\"font-style: italic;\">Environmental Politics</span>, vol 11, no 1, p. 112-132 (also as book: Frank Cass, London)"|"2002"|"DESCHOUWER, Kris & BUELENS, Jo"
"909"|"The color purple. The end of predictable politics in the Low Countries, in P. Webb, I. Holliday &amp; D. Farrell, <span style=\"font-style: italic;\">Political parties in democratic societies</span>, Oxford University Press, p. 151-180"|"2002"|"DESCHOUWER, Kris"
"910"|"Falling apart together. The changing nature of Belgian consociationalism, 1961-2000, in J. Steiner &amp; T. Ertman (ed), <span style=\"font-style: italic;\">Consociationalism and corporatism in Western Europe. Still the Politics of Accommodation</span>?, Special issue of <span style=\"font-style: italic;\">Acta Politica,</span> vol 37, p. 68-85"|"2002"|"DESCHOUWER, Kris"
"911"|"Getrennt zusammenleben in Belgien und Brüssel, in <span style=\"font-style: italic;\">Jahrbuch des Föderalismus 2002</span>, Nomos Verlaggesellschaft, Baden-Baden, 2002, p. 275-287"|"2002"|"DESCHOUWER, Kris"
"912"|"Causes and consequences of constitutional reform in multilingual Belgium, in S. Brooks, <span style=\"font-style: italic;\">The challenge of cultural pluralism: essays in honour of Kenneth McRae</span>, Praeger, Westport, p. 121-140"|"2002"|"DESCHOUWER, Kris"
"913"|"De smeltende ijsschots: religie, kerkpraktijk en stemgedrag, in M. Swyngedouw &amp; J. Billiet (red),<span style=\"font-style: italic;\"> De kiezer heeft zijn redenen. 13 juni 1999 en de politieke opvattingen van Vlamingen, </span>Acco, Leuven, p. 27-38"|"2002"|"DESCHOUWER, Kris"
"914"|"De Bestuurlijke organisatie van Brussel in een comparatief perspectief: tussen centralisering en decentralisering, in E. Witte et.al., <span style=\"font-style: italic;\">De Brusselse negentien gemeenten en het Brussels model,</span> De Boeck &amp; Larcier, Brussel, p. 107-118"|"2002"|"DESCHOUWER, Kris & VAN DER SCHOOT, Wim"
"915"|"De ombudsfunctie en de politieke instellingen, in R. Andersen &amp; B. Hubeau (red) <span style=\"font-style: italic;\">De ombudsman in België na een decennium</span>, Die Keure, Brugge, 2002, p. 129-152"|"2002"|"DESCHOUWER, Kris"
"916"|"L'avenir des institutions: vu de Flandre, in A. Leton (ed), <span style=\"font-style: italic;\">La Belgique: un&nbsp; état fédéral en évolution</span>, Bruylant, Brussel, p. 209-225"|"2001"|"DESCHOUWER, Kris & JANS, Maarten Theo"
"917"|"De zorgeloze consensus. De statuten van het Vlaams Blok en de partijentheorie, <span style=\"font-style: italic;\">Tijdschrift voor Sociologie</span>, vol 20, nr. 1, p. 63-88"|"2001"|"DESCHOUWER, Kris"
"918"|"Symmetrie, Kongruenz und Finanzausgleich: die regionale Ebene in Belgien seit den Wahlen von 1999, <span style=\"font-style: italic;\">Jahrbuch des Föderalismus 2001</span>, Nomos Verlag, Baden-Baden, p. 203-216"|"2001"|"DESCHOUWER, Kris"
"919"|"Politieke instituties, strategieën en beleid: de consequenties van multi-level governance, <span style=\"font-style: italic;\">Res Publica</span>, vol 43, nr. 1, p. 5-14"|"2001"|"DESCHOUWER, Kris"
"920"|"Freezing pillars and frozen cleavages: party systems and voter alignments in the consociational democracies, in L. Karvonen &amp; S. Kuhnle (ed), <span style=\"font-style: italic;\">Party systems and voter alignments revisited</span>, Routledge, London, p. 199-215"|"2001"|"DESCHOUWER, Kris"
"921"|"Unité et diversité de l’extrême droite européenne, <span style=\"font-style: italic;\">Politique. Revue de Débats</span>, no 21, Novembre 2001, p. 10-15<br>"|"2001"|"DESCHOUWER, Kris"
"922"|"De Belgische gemeenteraadsverkiezingen en de nationale partijpolitiek, <span style=\"font-style: italic;\">Tijdschrift van Dexiabank</span>, nr. 216, p. 19-28"|"2001"|"DESCHOUWER, Kris & BUELENS, Jo"
"923"|"Referenda tussen oplossing en probleem, in F. Fleerackers, <span style=\"font-style: italic;\">De Re Ferenda. Een meta-juridische conflictanalyse van het referendum</span>, De Boeck &amp; Larcier, p. 79-100"|"2001"|"DESCHOUWER, Kris"
"924"|"De Belgische politieke stabiliteit in vergelijkend perspectief, in M. Galle &amp; S. Loccufier (ed), <span style=\"font-style: italic;\">Facetten van honderd jaar politieke, economische en sociale geschiedenis. Herdenking geboorte Achiel Van Acker, 1898-1998</span>, VUB Press, Brussel, p. 125-156"|"2000"|"DESCHOUWER, Kris & JANS, Maarten Theo"
"925"|"Belgien – Ein föderalstaat auf der Suche nach Stabilität, <span style=\"font-style: italic;\">Jahrbuch des Föderalismus 2000</span>, Nomos Verlaggesellschaft, Baden-Baden, p. 79-119"|"2000"|"DESCHOUWER, Kris"
"926"|"Belgium's quasi-regional elections of June 1999, <span style=\"font-style: italic;\">Regional and Federal Studies</span>, vol 10, nr. 1, p. 125-132"|"2000"|"DESCHOUWER, Kris"
"927"|"Old tensions and new conflicts: the challenge of regional pluralism in Belgium, in F. Delmartino, A. Pongsapich &amp; R. Hrbek, <span style=\"font-style: italic;\">Regional pluralism and good governance. Problems and solutions in ASEAN and EU-countries</span>, Nomos Verlaggesellschaft, Baden-Baden, p. 121-140"|"1999"|"DESCHOUWER, Kris"
"928"|"In der Falle gefangen. Belgiens Parteien und ihre Reaktionen auf abnehmende Wählerloyalitäten, in P. Mair, W. Müller &amp; F. Plasser, <span style=\"font-style: italic;\">Parteien auf komplexen Wählermarkten. Reaktionsstrategien politischer Parteien in Westeuropa</span>, Wien, ZAP, p. 281-314"|"1999"|"DESCHOUWER, Kris"
"929"|"From consociationalism to federalism: how the Belgian parties won, in R. Luther &amp; K. Deschouwer (eds), <span style=\"font-style: italic;\">Party elites in divided societies Political parties in consociational democracies,</span> Routledge, London, 1999, p. 74-107"|"1999"|"DESCHOUWER, Kris"
"930"|"From 'prudent leadership' to successful adaptation? Pillar parties and consociational democracies thirty years on, in R. Luther &amp; K. Deschouwer (eds), <span style=\"font-style: italic;\">Party elites in divided societies. Political parties in consociational democracie</span>s, Routledge, London, 1999, p. 243-263"|"1999"|"LUTHER, Kurt Richqrd & DESCHOUWER, Kris"
"931"|"Het statuut van de Brusselse gemeenten: denkpistes voor een mogelijke hervorming, in E. Witte e.a., <span style=\"font-style: italic;\">Het statuut van Brussel</span>, De Boeck &amp; Larcier, Brussel, 1999, p. 439-463"|"1999"|"DESCHOUWER, Kris & BUELENS, Jo"
"932"|"Je t'aime, moi non plus. Over politiek en recht in een moderne samenleving, <span style=\"font-style: italic;\">Orde van de Dag. Criminaliteit en Samenleving</span>, nr. 7, mei 1999, p. 45-56"|"1999"|"DESCHOUWER, Kris"
"933"|"De politieke instellingen in Brussel: kennis en attitudes, in M. Swyngedouw, K. Phalet &amp; K. Deschouwer, <span style=\"font-style: italic;\">Minderheden in Brussel,</span> VUB-Press, p. 261-270"|"1999"|"DESCHOUWER, Kris"
"934"|"De relatie tussen taal en identiteit bij de Brusselse migranten, in M. Swyngedouw, K. Phalet &amp; K. Deschouwer, <span style=\"font-style: italic;\">Minderheden in Brussel</span>, VUB-Press, p. 215-244"|"1999"|"DESCHOUWER, Kris & ACKAERT, Leen"
"935"|"\"‘Je moe nie huil nie, je moe nie treur nie\". Electoral systems and their effects in divided societies, in B. De Villiers, F. Delmartino &amp; A. Alen, <span style=\"font-style: italic;\">Insititutional development in divided societies</span>, HSRC, Pretoria, p. 161-201"|"1998"|"DESCHOUWER, Kris & JANS, Maarten Theo"
"936"|"La corruption politique et le clientélisme: le spectre italien?, in M. Swyngedouw &amp; M. Martiniello (eds), <span style=\"font-style: italic;\">Où va la Belgique? Les soubresauts d’une petite démocratie européenne</span>, L’Harmattan, Paris, p. 139-152"|"1998"|"DE WINTER, Lieven & DESCHOUWER, Kris"
"937"|"Vrijzinnigen, ongelovigen en protest, in M. Swyngedouw et.al. (eds), <span style=\"font-style: italic;\">De (on)redelijke kiezer. Onderzoek naar de politieke opvattingen van Vlamingen. Verkiezingen van 25 mei 1995</span>, Acco, Leuven"|"1998"|"DESCHOUWER, Kris & DERKS, Anton"
"938"|"La Flandre et la Belgique de demain: une identité devenue institution, <span style=\"font-style: italic;\">Federalisme – Regionalisme</span>, 1998, p. 99-106"|"1998"|"DESCHOUWER, Kris & JANS, Maarten Theo"
"939"|"Politieke partijen en de moeilijke democratie, <span style=\"font-style: italic;\">Samenleving en Politiek,</span> januari 1998, p. 4-17"|"1998"|"DESCHOUWER, Kris"
"940"|"De parlementaire onderzoekscommissies en de politiek, in L. Huyse, C. Fijnaut &amp; R. Verstraete (red), <span style=\"font-style: italic;\">Parlementaire onderzoekscommissies. Mogelijkheden, grenzen en risico’s,</span> Van Halewijck, 1998, p. 12-35"|"1998"|"DESCHOUWER, Kris"
"941"|"De gemeenten en de lokale politiek in het Brussels Hoofdstedelijk Gewest, <span style=\"font-style: italic;\">Res Publica</span>, nr. 1, p. 89-99"|"1997"|"DESCHOUWER, Kris & BUELENS, Jo"
"942"|"Une fédération sans fédérations de partis, in S. Jaumain (red), <span style=\"font-style: italic;\">La réforme de l’Etat .. et après? L’impact des débats constitutionnels en Belgique et au Canada</span>, Editions de l’ULB, Bruxelles, p. 77-83"|"1997"|"DESCHOUWER, Kris"
"943"|"Political parties and democracy: a mutual murder?, <span style=\"font-style: italic;\">European Journal of Political Research,</span> 1996, p. 263-278"|"1996"|"DESCHOUWER, Kris"
"944"|"Waiting for ‘the big one’. The uncertain survival of the Belgian parties and party systems, <span style=\"font-style: italic;\">Res Publica</span>, nr. 2,&nbsp; p. 295-306"|"1996"|"DESCHOUWER, Kris"
"945"|"Comparing similar countries: Belgium and Italy,<span style=\"font-style: italic;\"> Res Publica</span>, vol 38, p. 215-236"|"1996"|"DE WINTER, Lieven, DELLA PORTA, Donatella & DESCHOUWER, Kris"
"946"|"Le VLD ou l'impasse structurelle du libéralisme en Flandre, in P. Delwit, J.-M. Dewaele &amp; X. Mabille, <span style=\"font-style: italic;\">Les partis politique en Belgique</span>, ULB, p. 125-136"|"1996"|"DESCHOUWER, Kris"
"947"|"Op verkenning in de kloof, in M. Elchardus (ed), <span style=\"font-style: italic;\">Variaties op onbehagen en vertrouwen</span>, VUB Press, Brussels, p. 77-100"|"1996"|"DESCHOUWER, Kris"
"948"|"The political system of Brussels, in J. Kotek, S. Susskind &amp; S. Kaplan, <span style=\"font-style: italic;\">Brussels and Jerusalem: from conflict to solution</span>, Harry Truman Research Institute, Jerusalem"|"1996"|"DESCHOUWER, Kris"
"949"|"Nationale partijen en gemeenteraadsverkiezingen, in J. Buelens &amp; K. Deschouwer (eds), <span style=\"font-style: italic;\">De Dorpsstraat is de Wetstraat niet</span>, VUB-Press, p. 13-25"|"1996"|"DESCHOUWER, Kris"
"950"|"Van catacomben-christendom tot geïntegreerd politiek alternatief, in M. Hooghe &amp; S. Hellemans, <span style=\"font-style: italic;\">Nieuwe sociale bewegingen in Vlaanderen</span>, Garant, Leuven, p. 127-146"|"1995"|"DESCHOUWER, Kris, HELLEMANS, Staf & JANSSENS, Frederik"
"951"|"A West European model for social democracy in East Central Europe?, in M. Waller, B. Coppieters &amp; K. Deschouwer (eds), <span style=\"font-style: italic;\">Social democracy in East Central Europe</span>, Frank Cass, London, p. 1-18"|"1994"|"DESCHOUWER, Kris & COPPIETERS, Bruno"
"952"|"The decline of consociationalism and the reluctant modernization of the Belgian mass parties, in R. Katz &amp; P. Mair (eds), <span style=\"font-style: italic;\">How parties organize: adaptation and change in party organizations in Western democracies</span>, Sage, London, p. 80-108"|"1994"|"DESCHOUWER, Kris"
"953"|"The termination of coalitions in Belgium,<span style=\"font-style: italic;\"> Res Publica</span>, p. 43-55"|"1994"|"DESCHOUWER, Kris"
