syscode;author;jaar;inhoud
13_0023;BEYENS, Stefanie & VERTHE, Tom;2013;De strategische kiezer. Partijvoorkeuren en complexe stemmotieven bij de Belgische gemeenteraadsverkiezingen van 2012, in DASSONNEVILLE, Ruth, HOOGHE, Marc, MARIEN, Sofie & PILET, Jean-Benoit (eds) De lokale kiezer. Het kiesgedrag bij de Belgische gemeenteraadsverkiezingen van 2012, Brussel: ASP, p. 199-254
13_0024;Biedenkopf, Katja;2013;The Multilevel Dynamics of EU and U.S. Environmental Policy: A Case Study of Electronic Waste. In Echinard, Yann, Geslin, Albane, Gueldry, Michel and Terpan, Fabien (eds.) L’Union Européenne et les Etats-Unis. Processus, Politiques et Projets. Brussels. Larcier: 189-210.
13_0025;Biedenkopf, Katja;2013;Assessing Possibilities for Enhanced EU-South Korea Cooperation on Chemical Regulation. In Marx, Axel,Wouters,  Jan, Moon, Woosik, Rhee, Yeongseop, Park, Sunhee and Burnay, Matthieu (eds.) EU-Korea Relations in a Changing World. Leuven and Seoul. Joint Project by the Leuven Centre for Global Governance Studies, KU Leuven and the Graduate School of International Studies, Seoul National University: 167-193.
13_0026;Biedenkopf, Katja & Dupont, Claire;2013;A Toolbox Approach to the EU’s External Climate Governance. In Boening, Astrid, Kremer, Jan-Frederik and van Loon, Aukje (eds.). Global Power Europe – Vol. 1. Theoretical and Institutional Approaches to the EU’s External Relations. Heidelberg. Springer: 181-199.
13_0027;Celis, K.;2013;Representativity in Times of Diversity: The Political Representation of Women. Women’s Studies International Forum. 
13_0028;Celis, K. ;2013;De legalisering van abortus in België: een vertegenwoordigingsvraagstuk: in Coene, G. & Bollen, S. (eds.) Tweespraak Vrouwenstudies. 20 jaar abortuswet en –praktijk. Brussels, VUBPress: 23-63.
13_0029;Celis, K. & Childs, S.;2013; De substantiële vertegenwoordiging van vrouwen: wat met conservatieve claims? Res Publica, 55(3), 410-412.
13_0030;Celis, K. & Erzeel, S. (eds.) ;2013;Res Publica. Special issue ‘Quo vadis quota? M/V van politiek tot bedrijf’, 55 (3).
13_0031;Celis, K. & Mazur, A. (eds.) ;2012;Critical Perspectives: Hanna Pitkin’s ‘Concept of Representation’ Revisited. Politics & Gender,  8 (4) 
13_0032;Celis, K. & Meier, P.;2013;Genderquota als een kieshervorming: terug naar de context, actoren en belangen. Res Publica, 55(3), 287-301.
13_0033;Celis, K., Eelbode, F. & Wauters B.;2013;Visible Ethnic Minorities in Local Political Parties: A Case Study of two Belgian Cities (Antwerp and Ghent). Politics. 
13_0034;Eelbode, F., Wauters, B. Celis, K. & Devos, C.;2013;Left, right, left. The influence of party ideology on the political representation of ethnic minorities in Belgium. Politics, Groups, and Identities, 1(3): 451-467.
13_0035;FIOTT, Daniel;2013;The 'TTIP-ing Point': How the Transatlantic Trade and Investment Partnership Could Impact European Defence, The International Spectator: Italian Journal of International Affairs, Vol. 48, No. 3, pp. 15-26
13_0036;FIOTT, Daniel;2013;Realist Thought and Humanitarian Intervention, The International History Review, Vol. 35, No. 4, pp. 766-782
13_0037;FIOTT, Daniel;2013;Improving CSDP Planning and Capability Development: Could there be a ‘Frontex Formula’, European Foreign Affairs Review, Vol. 18, No. 1, pp. 47–62
13_0038;FIOTT, Daniel;2010;How Europeanized has Maltese Foreign Policy Become?, Mediterranean Quarterly, Vol. 21, No.3,  pp. 104-118
13_0039;FIOTT, Daniel & VINCENT, Marie ;2013;The European Union, in Zyberi, Gentian (ed), An institutional Approach to the Responsibility to Protect, New York: Cambridge University Press, pp. 199-219
13_0040;GEHRING, Thomas, OBERTHÜR, Sebastian & MÜHLECK, Marc;2013;EU Actorness in International Institutions: Why the EU is Recognized as an Actor in Some International Institutions, but Not in Others. Journal of Common Market Studies Vol. 51, No. 5: pp. 849-865.
13_0041;GROEN, Lisanne  & OBERTHÜR, Sebastian;2013;Global Environmental Institutions’, in: Knud Erik Jørgensen and Katie Verlin Laatikainen (eds.), Routledge Handbook on the European Union and International Institutions. Performance, Policy, Power, Abingdon, Oxon: Routledge, pp. 282-293.
13_0042;HADFIELD, Amelia (Canterbury Christ Church University) & FIOTT, Daniel;2013;Europe and the Rest of the World, Journal of Common Market Studies, Vol. 51, S1, pp. 168-182
13_0043;Hongyu Wang;2013;China’s Trade Dispute Settlement and the Reform of International Trade Order, in Chen Yugang (ed). Fudan International Relations Review, Shanghai: Shanghai People’s Press
13_0044;Hongyu Wang;2013;Multilevel Networks Analysis on European External Trade Policy-making, in Bai Zhigang (ed), Symposium of Foreign Studies Volume 1,Beijing:Intellectual Property Publishing House
13_0045;Hongyu Wang;2013;Public-private Interactions in European Trade Policymaking towards China: A Case Study on European Anti-Dumping Policy towards Chinese Footwear, in Bai Zhigang (ed), Symposium of Foreign Studies Volume 1,Beijing:Intellectual Property Publishing House
13_0046;Hongyu Wang;2013;Comparative Regionalization: EU Model and East Asia’s Practice for Regional Integration, Journal of Global Policy and Governance,published online on 28 August 2013, This article is published with open access atSpringerlink.com
13_0047;Huysseune, Michel;2012;Le premesse ideologiche del federalismo centrifugo in Belgio, Foedus Culture economie e territori, 2012, N° 34, p. 25-41.
13_0048;Huysseune, Michel;2013;Rousseau als isolationist? Reflecties over de ‘Projet de Constitution pour la Corse’, in: De Hert, Paul (ed), Rousseau. De wandelende paradox, Kalmthout: Pelckmans, p. 81-102.
13_0049;MATTELAER, Alexander;2013;The Politico-Military Dynamics of European Crisis Response Operations: Planning, Friction, Strategy. Basingstoke: Palgrave Macmillan
13_0050;MATTELAER, Alexander;2013;The Empty Promise of Comprehensive Planning in EU Crisis Management, European Foreign Affairs Review, Vol. 18 No. 4, p. 125-146
13_0051;MATTELAER, Alexander;2012;Reviewing the EU’s Crisis Management Procedures, Studia Diplomatica, Vol. 65 No. 4, p. 31-37.
13_0052;OBERTHÜR, Sebastian;2013;Discussion Summary – Working Group: International Climate Policy before COP 17, in: Climate Change and Environmental Hazards Related to Shipping. An International Legal Framework, edited by Hans-Joachim Koch, Doris König, Joachim Sanden, and Roda Verheyen, Leiden/Boston: Martinus Nijhoff, pp. 87-92.
13_0053;OBERTHÜR, Sebastian &  LEFEBER, Rene (University of Amsterdam);2012;Das System der Erfüllungskontrolle des Kyoto-Protokolls: Eine Bestandsaufnahme nach sechs Jahren Praxis, in: Archiv des Völkerrechts Vol. 50, No. 4, pp. 420-449.
13_0054;OBERTHÜR, Sebastian & POZAROWSKA, Justyna (VUB);2013;Managing Institutional Complexity and Fragmentation: The Nagoya Protocol and the Global Governance of Genetic Resources. Global Environmental Politics 1Vol. 3 No. 3, pp. 100-118.
13_0055;OBERTHÜR, Sebastian & POZAROWSKA, Justyna ;2014;The Impact of the Nagoya Protocol on the Evolving Institutional Complex of ABS Governance, in: Sebastian Oberthür and G. Kristin Rosendal (eds.), Global Governance of Genetic Resources: Access and Benefit Sharing after the Nagoya Protocol, Abingdon: Routledge 2014, 178-195.
13_0056;OBERTHÜR, Sebastian & RABITZ, Florian (VUB);2014;The Role of the European Union in the Nagoya Protocol Negotiations: Self-interested Bridge Building, in: Sebastian Oberthür and G. Kristin Rosendal (eds.), Global Governance of Genetic Resources: Access and Benefit Sharing after the Nagoya Protocol, Abingdon: Routledge 2014, 79-95.
13_0057;OBERTHÜR, Sebastian & ROSENDAL, G. Kristin ;2014;Global Governance of Genetic Resources: Access and Benefit Sharing after the Nagoya Protocol, Abingdon: Routledge 2014.
13_0058;OBERTHÜR, Sebastian & ROSENDAL, G. Kristin (Fridtjof Nansen Institute, Norway);2014;Global Governance of Genetic Resources: Background and Analytical Framework, in: Sebastian Oberthür and G. Kristin Rosendal (eds.), Global Governance of Genetic Resources: Access and Benefit Sharing after the Nagoya Protocol, Abingdon: Routledge 2014, 1-17.
13_0059;OBERTHÜR, Sebastian & ROSENDAL, G. Kristin ;2014;Conclusions: An Assessment of Global Governance of Genetic Resources after the Nagoya Protocol, in: Sebastian Oberthür and G. Kristin Rosendal (eds.), Global Governance of Genetic Resources: Access and Benefit Sharing after the Nagoya Protocol, Abingdon: Routledge 2014, 231-250.
13_0060;PALAU, Anna M. & DAVESA, Ferran;2013;The impact of media coverage of corruption on Spanish public opionion, REIS. Revista Española de Investigaciones Sociológicas, Vol 144, p. 97-126  
13_0061;PALAU, Anna M. , CHAQUÉS-BONAFONT, Laura , MUÑOZ, Luz , MEDIR, Lluís, DAVESA, Ferran & JULIO, Mariel ;2011;Issue prioritization in regional legislative agendas: institutions and political preferences
13_0062;SCHOLLIERS, Peter & VAN DEN EECKHOUT, Patricia;2013;Feeding growing cities in the nineteenth and twentieth centuries: problems, innovations , and reputations, in Anne Murcott, Warren Belasco, Peter Jackson (eds.),The handbook of food research, London: Bloomsbury, p. 69-81
13_0063;Severs, E., Celis, K. & Meier, P.;2013;Representative claims and beyond: A study of the inclusion of Muslim women's judgment in the Flemish headscarf debate. Politics, Groups, and Identities, 1(3): 433-450.
13_0064;Severs, Eline;2010;Representation as claims-making: Quid responsiveness? Representation, 46 (4): 411-23.
13_0065;Severs, Eline;2010;Vertegenwoordiging als een constructie van belangen. De substantiële vertegenwoordiging van sociale groepen. In : Gender studies: een genre apart? Een stand van zaken / Savoirs de genre: quel genre de savoir? État des lieux des études de genre Brussels: Sophia vzw/absl, pp. 191-205.
13_0066;Severs, Eline ;2012;Substantive representation throuh a claims-making lens: A strategy for the identification and analysis of substantive claims’. Representation, 48 (2): 169-82.
13_0067;Severs, Eline: Karen Celis, and Petra Meier;2013;Representative claims and beyond. A study of the inclusion of Muslim women’s judgment in the Flemish headscarf debate’. Politics, Groups & Identities, 1 (3): 433-50.
13_0068;STAHL, A.K. and SCHIOPPA, C. A.;2013;From Battleground to Green Common Ground: The Renewable Energy Opportunity for EU-China Collaboration, Asia Paper, vol. 7, Issue 3, 12 May 2013
13_0069;"STAHL, G.; SCHIOPPA, C. A.; STAHL, A. K.";2013;The European Union, China and Renewable Energy, in M. Liu, M. Henry, H. Haifeng (eds.), 'Renewable Energy in China: Towards a Green Economy', Hong Kong: Enrich Professional Publishing.
13_0070;TANASESCU, Mihnea;2013;The Rights of Nature in Ecuador: the making of an idea, International Journal of Environmental Studies, DOI: 10.1080/00207233.2013.845715
13_0071;VAN DEN EECKHOUT, Patricia;2012;Shopping for food in Western Europe in the nineteenth and twentieth centuries, Food & History,Vol.10, No. 1, p. 71 - 82
13_0072;VAN DEN EECKHOUT, Patricia;2012;Restaurants in Western Europe and the United States in the Nineteenth and Twentieth Centuries: an Introduction, Food & History, Vol. 10, No. 1, p. 143 - 153
13_0073;VAN DEN EECKHOUT, Patricia;2013;Allen daarheen! Koks en kelners op de Wereldtentoonstelling van 1913 in Gent,Brood & Rozen,  Vol. 18, No. 1, p. 29 - 51
13_0074;VAN DEN EECKHOUT, Patricia & SCHOLLIERS, Peter;2011;The strategy of a Belgian multiple grocer: Delhaize le Lion 1867-1940. An essay in comparative retailing history,Entreprises et Histoire, Vol. 64, No 3,  p. 41 - 63
13_0075;VAN DEN EECKHOUT, Patricia & SCHOLLIERS, Peter;2012;The proliferation of brands: the case of food in Belgium (1890-1940),Enterprise and Society,  Vol. 13, No. 1, p. 53 - 84
13_0076;Waylen Georgina, Celis Karen, Kantola Johanna and Weldon Laurel (eds.) ;2013;The Oxford Handbook on Gender and Politics. Oxford: Oxford University Press. 
